"competitie_naam","seizoen","genre","poule_naam","divisie","datum","tijd","sporthal","plaats_sporthal","thuisteam","thuisclub","plaats_thuisclub","uitteam","uitclub","plaats_uitclub","scheids1_hashed","scheids2_hashed","thuisscore","uitscore"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-04-10","17:45:00","Enschede - Hell Hound Hal","Enschede","FB Agents","Floorball Agents","Amsterdam","Messed Up","Messed Up","Enschede","0df0505c99385b230173d9da40fff510","7ff744ffaf407c3ac50604f2afe320eb","8","0"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-04-17","16:00:00","Universitair Sportcentrum","Delft","FB Agents","Floorball Agents","Amsterdam","UFC Utrecht 2","UFC Utrecht","Utrecht","099720cf9154817e954ed8583adaa637","412e903f703a3fa5f5cdee761562d9be","6","3"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-04-17","16:00:00","Amersfoort - Schuilenburghal","Amersfoort","Messed Up","Messed Up","Enschede","UFC Groningen","UFC Groningen","Groningen","6726dc565f3cebd78423a258d2d5a2cd","a86fc0259b7a07b0548b11403f2d6c65","3","4"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-05-08","14:15:00","Amersfoort - Schuilenburghal","Amersfoort","Messed Up","Messed Up","Enschede","Hot Shots 2","SUFV Hot Shots Nijmegen","Nijmegen","47d4f1b75fb1cb6b3683ae567090ddad","47d4f1b75fb1cb6b3683ae567090ddad","5","0"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-05-08","17:45:00","Groningen - HIS Groningen","Groningen","UFC Groningen","UFC Groningen","Groningen","FB Agents","Floorball Agents","Amsterdam","685ffe06078db81b98e0fdaa36460cfb","07c4d10eb37fb69772a0970c8b0a705a","4","7"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-05-15","16:00:00","Sportcentrum Universiteit Twente","Enschede","Hot Shots 2","SUFV Hot Shots Nijmegen","Nijmegen","FB Agents","Floorball Agents","Amsterdam","65fac63b2b8f66675673674a1128a53a","7ff744ffaf407c3ac50604f2afe320eb","9","4"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-05-15","17:45:00","Sportcentrum Universiteit Twente","Enschede","UFC Utrecht 2","UFC Utrecht","Utrecht","Messed Up","Messed Up","Enschede","021cd4a63e702383696aeafeda7dc973","ce6d5512070bb4b7b5d3b29289bc2e5c","1","6"
"Dames Floorball competitie","2009","competitie","Play-offs kamp.","1","2010-04-17","14:15:00","Universitair Sportcentrum","Delft","UA Sonics","Sonics","Amersfoort","HDM","HSK Floorball","Den Haag","782356bc86084494e137781fc42fc97a","06bd1f981bcec6deb2475c2ee558ba5b","2","8"
"Dames Floorball competitie","2009","competitie","Play-offs degrad.","1","2010-04-17","14:45:00","Leidschendam - De Fluit","Leidschendam","Hot Shots 1","SUFV Hot Shots Nijmegen","Nijmegen","Quick Feet","Quick Feet","Groningen","f4a29fda5ec9060b7deeaa08a67af3b0","cfc45aa62ca3aaa13be16f89b6eeb1a8","7","1"
"Dames Floorball competitie","2009","competitie","Play-offs kamp.","1","2010-05-08","10:45:00","Amersfoort - Schuilenburghal","Amersfoort","UC Face Off","U.C. Face Off","Groningen","UA Sonics","Sonics","Amersfoort","1923d1e60f3d1ac9688e2e898ae49930","6986ab88aed566fc10b4ef22776a13a4","5","3"
"Dames Floorball competitie","2009","competitie","Play-offs degrad.","1","2010-05-08","14:15:00","Groningen - HIS Groningen","Groningen","UFC Utrecht 1","UFC Utrecht","Utrecht","Hot Shots 1","SUFV Hot Shots Nijmegen","Nijmegen","06bd1f981bcec6deb2475c2ee558ba5b","5745302f93fd65efc5959178a5a55f0e","5","2"
"Dames Floorball competitie","2009","competitie","Play-offs kamp.","1","2010-05-15","18:15:00","Leidschendam - De Fluit","Leidschendam","HDM","HSK Floorball","Den Haag","UC Face Off","U.C. Face Off","Groningen","4ff997e47fe53f2c5714850357c2f325","a7b03f0cfbc79ea2492ef04ddad690a4","2","1"
"Dames Floorball competitie","2009","competitie","Play-offs degrad.","1","2010-05-15","16:00:00","Lunetten Sporthal","Utrecht","Quick Feet","Quick Feet","Groningen","UFC Utrecht 1","UFC Utrecht","Utrecht","5745302f93fd65efc5959178a5a55f0e","06bd1f981bcec6deb2475c2ee558ba5b","2","7"
"Dames Floorball competitie","2009","competitie","Promotie/Degradatie","0","2010-05-29","14:15:00","Lunetten Sporthal","Utrecht","Messed Up","Messed Up","Enschede","UFC Utrecht 1","UFC Utrecht","Utrecht","253293abce6be87905b419caea944c5b","6a554bd91fac4c05baee7c505ad1a4b7","0","4"
"Dames Floorball competitie","2009","competitie","Promotie/Degradatie","0","2010-05-29","16:00:00","Lunetten Sporthal","Utrecht","UFC Groningen","UFC Groningen","Groningen","Hot Shots 1","SUFV Hot Shots Nijmegen","Nijmegen","7652402bc75dd6aae83926565d619198","1ba97b60c67de610440ff5e9202a5b75","1","8"
"Dames NeFUB CUP","2009","beker","Poule 1","1","2009-09-20","11:55:00","Amersfoort - Schuilenburghal","Amersfoort","UFC Utrecht 1","UFC Utrecht","Utrecht","Quick Feet","Quick Feet","Groningen","099720cf9154817e954ed8583adaa637","412e903f703a3fa5f5cdee761562d9be","4","0"
"Dames NeFUB CUP","2009","beker","Poule 2","1","2009-09-20","13:05:00","Amersfoort - Schuilenburghal","Amersfoort","UFC Groningen","UFC Groningen","Groningen","HDM","HSK Floorball","Den Haag","ece74a55644011f43532d41e12f81bf8","faf054dd8a2f0698429231110cc4b4b4","1","4"
"Dames NeFUB CUP","2009","beker","Poule 2","1","2009-09-20","15:25:00","Amersfoort - Schuilenburghal","Amersfoort","UFC Utrecht 2","UFC Utrecht","Utrecht","UFC Groningen","UFC Groningen","Groningen","bc802ff6321cbbd91f6a779c128e384b","045d8a65141bb3664cc1d6e65ee8ec5c","0","4"
"Dames NeFUB CUP","2009","beker","Poule 3","1","2009-09-20","17:45:00","Amersfoort - Schuilenburghal","Amersfoort","Hot Shots","SUFV Hot Shots Nijmegen","Nijmegen","FB Agents","Floorball Agents","Amsterdam","8715d8b7390cea94fb9c1fc7d4dc7f19","eef748f0c9865eda6878af2e450f0315","3","1"
"Dames NeFUB CUP","2009","beker","Poule 4","1","2009-09-20","18:55:00","Amersfoort - Schuilenburghal","Amersfoort","UA Sonics","Sonics","Amersfoort","Messed Up","Messed Up","Enschede","0b46d9f8b403ed4a88e45e5fa407eb61","7d44fdb4cd369049c23112395b915226","0","0"
"Dames NeFUB CUP","2009","beker","Poule 4","1","2009-09-20","16:35:00","Amersfoort - Schuilenburghal","Amersfoort","Messed Up","Messed Up","Enschede","UC Face Off","U.C. Face Off","Groningen","8a388ef2fadae3e726e956df8eeef2ce","7ac8130b52c6f6ce2b283cf7c0bba49d","0","2"
"Dames NeFUB CUP","2009","beker","Poule 2","1","2009-09-20","10:45:00","Amersfoort - Schuilenburghal","Amersfoort","HDM","HSK Floorball","Den Haag","UFC Utrecht 2","UFC Utrecht","Utrecht","26952dd4936b726eb312fe08f41723cb","740622d0bd988872411988206d9cd753","4","0"
"Dames NeFUB CUP","2009","beker","Poule 4","1","2009-09-20","14:15:00","Amersfoort - Schuilenburghal","Amersfoort","UC Face Off","U.C. Face Off","Groningen","UA Sonics","Sonics","Amersfoort","b2716f36737191f6e97a004132ec9dc4","b5e149b18fcd55c3f55a18b86c6578c0","2","6"
"Dames NeFUB CUP","2009","beker","Halve Finales beker","0","2010-03-20","09:45:00","Paperclip","Utrecht","HDM","HSK Floorball","Den Haag","UA Sonics","Sonics","Amersfoort","8a3b8649a8455f91d98ac0f61680e3d6","bbd2cd865fc68f71bcab94fe52c87117","4","5"
"Dames NeFUB CUP","2009","beker","Halve Finales beker","0","2010-03-20","12:15:00","Paperclip","Utrecht","UFC Utrecht 1","UFC Utrecht","Utrecht","Hot Shots","SUFV Hot Shots Nijmegen","Nijmegen","7912c06dd382375ebc41e22eba18e171","eef748f0c9865eda6878af2e450f0315","6","5"
"Dames NeFUB CUP","2009","beker","Bekerfinale","0","2010-06-05","11:00:00","Amersfoort - Nieuwland","Amersfoort","UFC Utrecht 1","UFC Utrecht","Utrecht","UA Sonics","Sonics","Amersfoort","7ac8130b52c6f6ce2b283cf7c0bba49d","8a388ef2fadae3e726e956df8eeef2ce","4","3"
"Dames NeFUB Cup","2010","beker","Dames Cup Ronde 1","1","2010-09-18","15:30:00","Amersfoort - ICOON","Amersfoort (Vathorst)","Hot Shots Nijmegen","SUFV Hot Shots Nijmegen","Nijmegen","UC Face Off","U.C. Face Off","Groningen","ca86fb026aa6a7170be6a5582eb883c0","8f46a42da25674f8c2fa91c6fc9690b2","3","6"
"Dames NeFUB Cup","2010","beker","Dames Cup Ronde 1","1","2010-09-18","16:45:00","Lunetten Sporthal","Utrecht","FB Agents","Floorball Agents","Amsterdam","Messed Up","Messed Up","Enschede","06bd1f981bcec6deb2475c2ee558ba5b","4ff1bd958a437329aac4ab4eedb3f45e","7","2"
"Dames NeFUB Cup","2010","beker","Dames cup halve finale","0","2011-04-09","10:45:00","Lunetten Sporthal","Utrecht","FB Agents","Floorball Agents","Amsterdam","Ua Sonics","Sonics","Amersfoort","1ba97b60c67de610440ff5e9202a5b75","8a3b8649a8455f91d98ac0f61680e3d6","5","2"
"Dames NeFUB Cup","2010","beker","Dames cup halve finale","0","2011-04-09","13:00:00","Lunetten Sporthal","Utrecht","UFC Utrecht","UFC Utrecht","Utrecht","UC Face Off","U.C. Face Off","Groningen","7652402bc75dd6aae83926565d619198","d33ba14dbc58b3924b0db7f1e718ff24","3","4"
"Dames NeFUB Cup","2010","beker","Dames Cup Ronde 1","1","2011-06-04","12:45:00","Amsterdam - Oostenburghal","Amsterdam","FB Agents","Floorball Agents","Amsterdam","UC Face Off","U.C. Face Off","Groningen","8a3b8649a8455f91d98ac0f61680e3d6","782356bc86084494e137781fc42fc97a","3","2"
