competitie_naam,seizoen,genre,poule_naam,divisie,datum,tijd,sporthal,plaats_sporthal,thuisteam,thuisclub,plaats_thuisclub,uitteam,uitclub,plaats_uitclub,scheids1_hashed,scheids2_hashed,thuisscore,uitscore
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-11-08,10:45:00,Groningen - sportcentrum RUG & HG (ACLO) dubbel,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,UC Face Off 1,U.C. Face Off,Groningen,47d4f1b75fb1cb6b3683ae567090ddad,47d4f1b75fb1cb6b3683ae567090ddad,0,5
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-11-22,17:45:00,Triangel,Lent (Nijmegen),Floorball Flames,Floorball Flames Nijmegen,Nijmegen,UFC Utrecht 1,UFC Utrecht,Utrecht,a7c03e28b1abf335193b3b20f3282837,9c840d96f83bca65bb2c88ebe4bde061,2,10
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-11-29,14:15:00,Roemer Visscher College,Den Haag,UFC Utrecht 1,UFC Utrecht,Utrecht,HSK,HSK Floorball,Den Haag,c9725eee9c6751199b016a0f464ee4b3,991a91c1cc9b7e077df8838c0fb53114,5,4
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-12-06,10:45:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,Sonics,Sonics,Amersfoort,1565a3d0c750ad737e86c8cdae4927e1,d301912f2ad257ecce775a4d2ba31233,1,1
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-12-13,14:00:00,Triangel,Lent (Nijmegen),UFC Utrecht 1,UFC Utrecht,Utrecht,FB Agents,Floorball Agents,Amsterdam,b4ae17d4c50a84cabab80a6f19112e2d,dca6e54944a7496fda1e21542d61cfcc,3,3
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-12-20,14:45:00,Lewenborg,Groningen,UC Face Off 1,U.C. Face Off,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,4508b704ad17d1be524df2a48b3a3afc,fda73539838297fc9008f8507d4a62cf,11,2
Dames Floorball Competitie,2014,competitie,Poule 1,2,2015-02-14,12:30:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,UC Face Off 1,U.C. Face Off,Groningen,c9725eee9c6751199b016a0f464ee4b3,492b1e577d5fd5add892c854adf60569,2,1
Dames Floorball Competitie,2014,competitie,Poule 1,2,2015-02-28,12:30:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,Sonics,Sonics,Amersfoort,6726dc565f3cebd78423a258d2d5a2cd,46548e170c3eec158f2dce5859a5bbb4,1,5
Dames Floorball Competitie,2014,competitie,Poule 1,2,2015-03-07,14:15:00,Triangel,Lent (Nijmegen),FB Agents,Floorball Agents,Amsterdam,UFC Utrecht 1,UFC Utrecht,Utrecht,ba230ce4963134590e4bd05185e36281,ba230ce4963134590e4bd05185e36281,5,7
Dames Floorball Competitie,2014,competitie,Poule 1 - Play Off's,3,2015-03-14,15:15:00,Lunetten Sporthal,Utrecht,Sonics,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,292cb27c5102c8f13410b3ead400d59a,581d3c9fefbf642cbb169505d0e7dc60,6,4
