competitie_naam,seizoen,genre,poule_naam,divisie,datum,tijd,sporthal,plaats_sporthal,thuisteam,thuisclub,plaats_thuisclub,uitteam,uitclub,plaats_uitclub,scheids1_hashed,scheids2_hashed,thuisscore,uitscore
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2010-10-02,17:45:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics,Sonics,Amersfoort,Messed Up,Messed Up,Enschede,89ac3fb01c9c9868ac919d1224294434,4f872822235cd482aa202edcd5c94ab2,4,3
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2010-11-13,15:15:00,Tilburg - Sportcentrum Reeshof,Tilburg,Hot Shots Nijmegen 1,SUFV Hot Shots Nijmegen,Nijmegen,UA Sonics,Sonics,Amersfoort,3ac3319d3042e6704211a5cbda7c3d83,c529f83cb2a5e5c413e281fda484171b,1,5
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2010-11-20,14:15:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics,Sonics,Amersfoort,Hot Shots Nijmegen 2,SUFV Hot Shots Nijmegen,Nijmegen,4508b704ad17d1be524df2a48b3a3afc,d0e79729d0d63116b6437d57e3b1f5fa,15,1
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2010-12-11,09:45:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics,Sonics,Amersfoort,7652402bc75dd6aae83926565d619198,ae328dd8832a9397869997825313668a,4,4
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2011-01-15,10:45:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics,Sonics,Amersfoort,FB Agents,Floorball Agents,Amsterdam,3ac3319d3042e6704211a5cbda7c3d83,f18862cbae5432688c4c7949d51476bf,0,2
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2011-01-29,17:45:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics,Sonics,Amersfoort,UC Face Off,U.C. Face Off,Groningen,e89c6764cb79f40313364589a5651c40,47d4f1b75fb1cb6b3683ae567090ddad,0,3
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2011-02-12,14:15:00,Lunetten Sporthal,Utrecht,UFC Utrecht 2,UFC Utrecht,Utrecht,UA Sonics,Sonics,Amersfoort,4f872822235cd482aa202edcd5c94ab2,e2d8264359747bc5b1e54695845adb61,1,5
Dames Floorball Competitie,2010,competitie,Kampioenspoule,1,2011-03-12,13:15:00,Leidschendam - De Fluit,Leidschendam,FB Agents,Floorball Agents,Amsterdam,UA Sonics,Sonics,Amersfoort,9cf3484ffd5e5dbee9c40946c35594fc,93160a909e744239b0cd94401b6dea64,3,2
Dames Floorball Competitie,2010,competitie,Kampioenspoule,1,2011-03-19,16:00:00,Groningen - HIS Groningen,Groningen,UC Face Off,U.C. Face Off,Groningen,UA Sonics,Sonics,Amersfoort,56d01f82d5e18271d4509ce89a1f2339,b5e149b18fcd55c3f55a18b86c6578c0,1,0
Dames Floorball Competitie,2010,competitie,Kampioenspoule,1,2011-04-02,17:15:00,Tilburg - Sportcentrum Reeshof,Tilburg,UA Sonics,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,f4a29fda5ec9060b7deeaa08a67af3b0,d9e0377f24f45e4a6bc63d7e3fb2e8ec,3,3
Dames Floorball Competitie,2010,competitie,Kampioenspoule,1,2011-05-14,13:00:00,Amsterdam - Oostenburghal,Amsterdam,UA Sonics,Sonics,Amersfoort,Hot Shots Nijmegen 1,SUFV Hot Shots Nijmegen,Nijmegen,777c5964cb7f316afd8fe2d31efefc19,b122057a3469d35d27c29a861f14c279,3,2
Dames Floorball Competitie,2016,competitie,Eredivisie,1,2016-09-17,13:30:00,Bokkeduinen,Amersfoort,Sonics 1,Sonics,Amersfoort,UFC Groningen,UFC Groningen,Groningen,4f872822235cd482aa202edcd5c94ab2,b6329eee7490b370812da813393a8f38,6,4
Dames Floorball Competitie,2016,competitie,Eredivisie,1,2016-09-24,16:00:00,Triangel,Lent (Nijmegen),Hot Flames 1,Floorball Flames Nijmegen,Nijmegen,Sonics 1,Sonics,Amersfoort,9f71d6e43d0c8799f38a92cb4a6231da,ef164914477dd258f1a4da30cfa3529a,9,4
Dames Floorball Competitie,2016,competitie,Eredivisie,1,2016-10-01,11:45:00,Gemeentelijk Sportcentrum Breda,Breda,Sonics 1,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,203a6531f2ea38f37bef001d49d5228a,cdf559d793af7bead077d62f22d9f6b3,3,3
Dames Floorball Competitie,2016,competitie,Eredivisie,1,2016-10-15,12:15:00,Sportcentrum Universiteit Twente,Enschede,Sonics 1,Sonics,Amersfoort,UC Face Off 1,U.C. Face Off,Groningen,dc0a68fd3435aa4160c74cc7037a8c1f,7d36a23fc64fac5394bbd1da73ecd2d9,11,0
Dames Floorball Competitie,2016,competitie,Eredivisie,1,2016-11-12,10:00:00,Roemer Visscher College,Den Haag,Sonics 1,Sonics,Amersfoort,HSK Agents,HSK Floorball,Den Haag,e590e1c4e2fc42cd0ea165f71a94e07e,0df0505c99385b230173d9da40fff510,2,4
Dames Floorball Competitie,2016,competitie,Eredivisie,1,2016-11-26,15:45:00,Lewenborg,Groningen,UC Face Off 1,U.C. Face Off,Groningen,Sonics 1,Sonics,Amersfoort,f4a29fda5ec9060b7deeaa08a67af3b0,c1ba66295cbeca1f4862ccbf675c59c6,0,5
Dames Floorball Competitie,2016,competitie,Eredivisie,1,2016-12-17,10:00:00,Nieuw Welgelegen Topsporthal - 3e verdieping,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,Sonics 1,Sonics,Amersfoort,45f284466ef1e2542ee0aaf35a6e83b5,690ee7ed1e404e86740632bb82b57801,1,2
Dames Floorball Competitie,2016,competitie,Eredivisie,1,2017-01-21,10:00:00,Roemer Visscher College,Den Haag,HSK Agents,HSK Floorball,Den Haag,Sonics 1,Sonics,Amersfoort,77e0cbd49bea59238990879a0541df8f,7edfb8ff613fbcf8b6f42084fc836313,2,8
Dames Floorball Competitie,2016,competitie,Eredivisie,1,2017-02-11,13:30:00,Scharlakenhof,Haren,UFC Groningen,UFC Groningen,Groningen,Sonics 1,Sonics,Amersfoort,bd488cabeb12f238a84c2a8cdc2ba878,b5a377d7c207729bdf796bda32679224,5,12
Dames Floorball Competitie,2016,competitie,Eredivisie,1,2017-02-18,10:00:00,Sportcentrum Universiteit Twente,Enschede,Sonics 1,Sonics,Amersfoort,Hot Flames 1,Floorball Flames Nijmegen,Nijmegen,041b0d41cac9e4bae468c10a0d0c3e18,ff6c0a290b7ebae41b211630d273b935,4,5
Dames Floorball Competitie,2016,competitie,Poule 1 - Play Off's,3,2017-03-11,15:15:00,Roemer Visscher College,Den Haag,Sonics 1,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,52c46476e8eb3f8ad03df1ebb9bb8727,77e0cbd49bea59238990879a0541df8f,2,4
Dames Floorball Competitie,2016,competitie,Poule 1 - Play Off's,3,2017-03-18,10:30:00,Nieuw Welgelegen Topsporthal - 3e verdieping,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,Sonics 1,Sonics,Amersfoort,041b0d41cac9e4bae468c10a0d0c3e18,ba230ce4963134590e4bd05185e36281,5,4
